words, bits, size, mux, frequencyx,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
16384, 4, 65536, 32, 500,161.9800,105.5900,0.9000,0.07264,1.539416,0.073718,1.550138,6.381,5.967,6.555,3.930,6.450,2.532,9.028,0.12802,4.014442,19.97424,0.90273,19.97424,
16384, 4, 65536, 32, 200,161.9800,105.5900,0.9000,0.029056,0.615766,0.029487,0.620055,6.381,5.967,6.555,3.930,6.450,2.532,3.611,0.051208,4.014442,19.97424,0.90273,19.97424,
1024, 128, 131072, 8, 1000,62.1800,656.1200,0.9000,0.707549,16.844098,0.586991,19.072418,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,0.034101,0.510548,11.080795,121.2112,2.105385,117.0887,
1024, 128, 131072, 8, 500,62.1800,656.1200,0.9000,0.353775,8.422049,0.293496,9.536209,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,0.01705,0.255274,11.080795,121.2112,2.105385,117.0887,
1024, 128, 131072, 8, 200,62.1800,656.1200,0.9000,0.14151,3.36882,0.117398,3.814484,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,6.820,0.10211,11.080795,121.2112,2.105385,117.0887,
2048, 64, 131072, 8, 1000,90.4200,328.3100,0.9000,0.391742,9.368314,0.333199,11.14639,0.011862,0.012925,0.012205,8.553,0.012003,5.551,0.022807,0.167503,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 8, 500,90.4200,328.3100,0.9000,0.195871,4.684157,0.1666,5.573195,0.011862,0.012925,0.012205,8.553,0.012003,5.551,0.011403,0.083751,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 8, 200,90.4200,328.3100,0.9000,0.078348,1.873663,0.06664,2.229278,0.011862,0.012925,0.012205,8.553,0.012003,5.551,4.561,0.033501,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 16, 1000,62.1800,656.1200,0.9000,0.567511,16.418127,0.494871,17.457225,0.01194,0.018726,0.012285,1.221,0.012074,0.010222,0.023743,0.476882,7.922911,115.65795,2.185119,115.0808,
2048, 64, 131072, 16, 500,62.1800,656.1200,0.9000,0.283755,8.209063,0.247435,8.728612,0.01194,0.018726,0.012285,1.221,0.012074,0.010222,0.011872,0.238441,7.922911,115.65795,2.185119,115.0808,
2048, 64, 131072, 16, 200,62.1800,656.1200,0.9000,0.113502,3.283625,0.098974,3.491445,0.01194,0.018726,0.012285,1.221,0.012074,0.010222,4.749,0.095376,7.922911,115.65795,2.185119,115.0808,
4096, 32, 131072, 8, 1000,161.9800,179.8300,0.9000,0.250165,5.366114,0.230461,6.095164,0.012154,0.010675,0.012496,7.087,0.012294,3.846,0.020942,0.262844,3.989028,33.72399,0.902866,30.63357,
4096, 32, 131072, 8, 500,161.9800,179.8300,0.9000,0.125083,2.683057,0.11523,3.047582,0.012154,0.010675,0.012496,7.087,0.012294,3.846,0.010471,0.131422,3.989028,33.72399,0.902866,30.63357,
4096, 32, 131072, 8, 200,161.9800,179.8300,0.9000,0.050033,1.073223,0.046092,1.219033,0.012154,0.010675,0.012496,7.087,0.012294,3.846,4.188,0.052569,3.989028,33.72399,0.902866,30.63357,
4096, 32, 131072, 16, 1000,90.4200,328.3100,0.9000,0.324319,9.196596,0.293766,10.036292,0.011862,0.012541,0.012205,8.226,0.012003,5.168,0.019678,0.178689,4.455365,57.786295,1.151943,57.786295,
4096, 32, 131072, 16, 500,90.4200,328.3100,0.9000,0.16216,4.598298,0.146883,5.018146,0.011862,0.012541,0.012205,8.226,0.012003,5.168,9.839,0.089344,4.455365,57.786295,1.151943,57.786295,
4096, 32, 131072, 16, 200,90.4200,328.3100,0.9000,0.064864,1.839319,0.058753,2.007258,0.011862,0.012541,0.012205,8.226,0.012003,5.168,3.936,0.035738,4.455365,57.786295,1.151943,57.786295,
4096, 32, 131072, 32, 1000,62.1800,656.1200,0.9000,0.501151,16.32716,0.45324,16.746417,0.01194,0.018159,0.012285,1.182,0.012074,9.654,0.020839,0.512708,6.823853,114.1399,2.233328,114.1399,
4096, 32, 131072, 32, 500,62.1800,656.1200,0.9000,0.250576,8.16358,0.22662,8.373208,0.01194,0.018159,0.012285,1.182,0.012074,9.654,0.01042,0.256354,6.823853,114.1399,2.233328,114.1399,
4096, 32, 131072, 32, 200,62.1800,656.1200,0.9000,0.10023,3.265432,0.090648,3.349283,0.01194,0.018159,0.012285,1.182,0.012074,9.654,4.168,0.102542,6.823853,114.1399,2.233328,114.1399,
8192, 16, 131072, 8, 1000,319.9000,105.5900,0.9000,0.175888,3.374487,0.169187,3.743219,0.012735,0.010803,0.013077,7.054,0.012876,3.936,0.023372,0.393075,4.736191,20.052034,0.902408,20.052034,
8192, 16, 131072, 8, 500,319.9000,105.5900,0.9000,0.087944,1.687244,0.084593,1.87161,0.012735,0.010803,0.013077,7.054,0.012876,3.936,0.011686,0.196538,4.736191,20.052034,0.902408,20.052034,
8192, 16, 131072, 8, 200,319.9000,105.5900,0.9000,0.035178,0.674897,0.033837,0.748644,0.012735,0.010803,0.013077,7.054,0.012876,3.936,4.674,0.078615,4.736191,20.052034,0.902408,20.052034,
8192, 16, 131072, 16, 1000,161.9800,179.8300,0.9000,0.214961,5.257142,0.20591,5.510793,0.012154,0.010483,0.012496,6.924,0.012294,3.654,0.017664,0.244193,3.988931,31.73064,0.902886,30.02635,
8192, 16, 131072, 16, 500,161.9800,179.8300,0.9000,0.10748,2.628571,0.102955,2.755396,0.012154,0.010483,0.012496,6.924,0.012294,3.654,8.832,0.122097,3.988931,31.73064,0.902886,30.02635,
8192, 16, 131072, 16, 200,161.9800,179.8300,0.9000,0.042992,1.051428,0.041182,1.102159,0.012154,0.010483,0.012496,6.924,0.012294,3.654,3.533,0.048839,3.988931,31.73064,0.902886,30.02635,
8192, 16, 131072, 32, 1000,90.4200,328.3100,0.9000,0.290984,9.138602,0.273211,9.491931,0.011862,0.012258,0.012205,8.032,0.012003,4.884,0.017206,0.167807,3.452133,57.34349,1.124487,57.34349,
8192, 16, 131072, 32, 500,90.4200,328.3100,0.9000,0.145492,4.569301,0.136606,4.745965,0.011862,0.012258,0.012205,8.032,0.012003,4.884,8.603,0.083903,3.452133,57.34349,1.124487,57.34349,
8192, 16, 131072, 32, 200,90.4200,328.3100,0.9000,0.058197,1.82772,0.054642,1.898386,0.011862,0.012258,0.012205,8.032,0.012003,4.884,3.441,0.033561,3.452133,57.34349,1.124487,57.34349,
16384, 8, 131072, 16, 1000,319.9000,105.5900,0.9000,0.157551,3.360216,0.15175,3.493734,0.012735,0.010707,0.013077,6.973,0.012876,3.840,0.021471,0.422327,4.737189,19.947662,0.90256,19.947662,
16384, 8, 131072, 16, 500,319.9000,105.5900,0.9000,0.078775,1.680108,0.075875,1.746867,0.012735,0.010707,0.013077,6.973,0.012876,3.840,0.010735,0.211163,4.737189,19.947662,0.90256,19.947662,
16384, 8, 131072, 16, 200,319.9000,105.5900,0.9000,0.03151,0.672043,0.03035,0.698747,0.012735,0.010707,0.013077,6.973,0.012876,3.840,4.294,0.084465,4.737189,19.947662,0.90256,19.947662,
16384, 8, 131072, 32, 1000,161.9800,179.8300,0.9000,0.196803,5.189598,0.195807,5.306876,0.012154,0.010341,0.012496,6.826,0.012294,3.513,0.018728,0.261285,3.998612,31.024286,0.902934,29.9148,
16384, 8, 131072, 32, 500,161.9800,179.8300,0.9000,0.098401,2.594799,0.097903,2.653438,0.012154,0.010341,0.012496,6.826,0.012294,3.513,9.364,0.130643,3.998612,31.024286,0.902934,29.9148,
16384, 8, 131072, 32, 200,161.9800,179.8300,0.9000,0.039361,1.03792,0.039161,1.061375,0.012154,0.010341,0.012496,6.826,0.012294,3.513,3.746,0.052257,3.998612,31.024286,0.902934,29.9148,
32768, 4, 131072, 32, 1000,319.9000,105.5900,0.9000,0.146907,3.304183,0.148634,3.301607,0.012735,0.010636,0.013077,6.924,0.012876,3.770,0.019578,0.396862,4.738935,19.97424,0.90273,19.97424,
