Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_24_OUT_32_clk_600,24,32,600,76,129,102.756,2201.532,515766.947,517968.479
accumulator_IN_24_OUT_32_clk_650,24,32,650,107,166,102.816,2247.183,510101.221,512348.404
accumulator_IN_24_OUT_32_clk_700,24,32,700,91,121,99.429,2090.294,457235.369,459325.663
accumulator_IN_24_OUT_32_clk_750,24,32,750,134,137,97.917,2024.833,436826.537,438851.371
accumulator_IN_24_OUT_32_clk_800,24,32,800,189,140,97.917,2037.472,420483.519,422520.991
accumulator_IN_32_OUT_32_clk_200,32,32,200,0,296,143.277,3503.340,1900060.647,1903563.987
accumulator_IN_32_OUT_32_clk_300,32,32,300,13,234,116.605,2623.322,1007084.149,1009707.471
accumulator_IN_32_OUT_32_clk_400,32,32,400,13,162,114.307,2503.425,742256.702,744760.127
accumulator_IN_32_OUT_32_clk_500,32,32,500,55,191,109.590,2494.620,640909.898,643404.517
accumulator_IN_32_OUT_32_clk_550,32,32,550,66,135,106.142,2296.238,563622.969,565919.207
accumulator_IN_32_OUT_32_clk_600,32,32,600,105,167,105.054,2296.158,553148.445,555444.602
accumulator_IN_32_OUT_32_clk_650,32,32,650,68,120,101.485,2134.940,497368.513,499503.453
accumulator_IN_32_OUT_32_clk_700,32,32,700,96,110,98.945,1991.341,458678.126,460669.467
accumulator_IN_32_OUT_32_clk_750,32,32,750,90,101,96.768,1881.753,430499.217,432380.970
accumulator_IN_32_OUT_32_clk_800,32,32,800,116,93,94.591,1813.586,407000.805,408814.391
accumulator_IN_8_OUT_40_clk_200,8,40,200,0,375,174.666,4637.416,2294684.627,2299322.043
accumulator_IN_8_OUT_40_clk_300,8,40,300,1,329,147.753,3658.333,1306597.634,1310255.967
accumulator_IN_8_OUT_40_clk_400,8,40,400,3,237,144.668,3603.286,1005071.476,1008674.762
accumulator_IN_8_OUT_40_clk_500,8,40,500,23,286,138.802,3382.519,843996.069,847378.588
accumulator_IN_8_OUT_40_clk_550,8,40,550,66,267,136.987,3286.452,762800.839,766087.291
accumulator_IN_8_OUT_40_clk_600,8,40,600,85,263,135.959,3280.177,713010.241,716290.418
accumulator_IN_8_OUT_40_clk_650,8,40,650,53,195,131.544,3014.326,631449.725,634464.050
accumulator_IN_8_OUT_40_clk_700,8,40,700,57,187,129.246,2944.302,574351.048,577295.349
accumulator_IN_8_OUT_40_clk_750,8,40,750,86,188,127.855,2879.022,552513.200,555392.222
accumulator_IN_8_OUT_40_clk_800,8,40,800,87,177,126.040,2825.876,501900.921,504726.797
accumulator_IN_16_OUT_40_clk_200,16,40,200,0,376,178.900,4800.047,2343438.990,2348239.037
accumulator_IN_16_OUT_40_clk_300,16,40,300,8,325,147.692,3544.784,1281082.407,1284627.191
accumulator_IN_16_OUT_40_clk_400,16,40,400,20,285,140.676,3304.423,990283.480,993587.903
accumulator_IN_16_OUT_40_clk_500,16,40,500,35,280,139.285,3331.202,827050.707,830381.909
accumulator_IN_16_OUT_40_clk_550,16,40,550,81,260,135.657,3158.897,745690.428,748849.325
accumulator_IN_16_OUT_40_clk_600,16,40,600,86,255,135.959,3230.542,703704.311,706934.853
accumulator_IN_16_OUT_40_clk_650,16,40,650,122,259,135.778,3178.319,665502.782,668681.101
