Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
4x2-bit temporal mult,signed,16,32,4,2,500,0,270,152.531,3695.914,735391.682,739087.595
4x2-bit temporal mult,signed,16,32,4,2,550,0,259,148.478,3515.787,654961.783,658477.570
4x2-bit temporal mult,signed,16,32,4,2,600,2,289,144.668,3331.655,621756.598,625088.254
4x2-bit temporal mult,signed,16,32,4,2,650,0,236,142.007,3260.898,564624.455,567885.353
4x2-bit temporal mult,signed,16,32,4,2,700,4,232,138.741,3055.232,519569.139,522624.371
4x2-bit temporal mult,signed,16,32,4,2,750,0,223,136.806,3018.815,481477.344,484496.159
4x2-bit temporal mult,signed,16,32,4,2,800,0,216,135.717,3086.477,469240.712,472327.189
2x2-bit temporal mult,signed,16,32,2,2,200,0,503,250.992,7649.993,2276851.295,2284501.289
2x2-bit temporal mult,signed,16,32,2,2,300,0,359,163.840,4161.102,1133864.957,1138026.059
2x2-bit temporal mult,signed,16,32,2,2,400,0,294,140.132,3263.174,797671.301,800934.476
2x2-bit temporal mult,signed,16,32,2,2,500,0,225,135.294,3067.027,638123.647,641190.673
2x2-bit temporal mult,signed,16,32,2,2,550,50,261,133.661,3001.195,584219.917,587221.111
2x2-bit temporal mult,signed,16,32,2,2,600,55,248,131.060,2912.563,540540.580,543453.144
2x2-bit temporal mult,signed,16,32,2,2,650,5,197,127.068,2729.161,475613.243,478342.404
2x2-bit temporal mult,signed,16,32,2,2,700,49,191,124.952,2658.651,445390.513,448049.164
2x2-bit temporal mult,signed,16,32,2,2,750,14,182,122.774,2552.147,418098.567,420650.713
2x2-bit temporal mult,signed,16,32,2,2,800,12,176,121.625,2545.941,394913.634,397459.574
16x16-bit temporal mult,signed,16,33,16,16,200,-118,1792,962.600,39296.693,4851158.796,4890455.489
16x16-bit temporal mult,signed,16,33,16,16,300,-10,1964,1054.650,42673.022,6169006.960,6211679.982
16x16-bit temporal mult,signed,16,33,16,16,400,0,1204,608.973,19364.829,3452886.366,3472251.195
16x16-bit temporal mult,signed,16,33,16,16,500,0,967,514.443,14366.468,2703228.732,2717595.200
16x16-bit temporal mult,signed,16,33,16,16,550,0,890,473.256,12205.921,2400887.412,2413093.333
16x16-bit temporal mult,signed,16,33,16,16,600,0,881,466.119,11443.225,2231755.018,2243198.243
16x16-bit temporal mult,signed,16,33,16,16,650,1,871,458.317,11095.036,2138691.419,2149786.455
16x16-bit temporal mult,signed,16,33,16,16,700,0,829,443.681,10646.928,2011609.672,2022256.600
16x16-bit temporal mult,signed,16,33,16,16,750,0,813,440.113,10105.641,1908293.656,1918399.297
16x16-bit temporal mult,signed,16,33,16,16,800,0,765,432.916,9883.209,1804928.062,1814811.270
16x8-bit temporal mult,signed,16,33,16,8,200,-93,1491,820.774,33183.515,6870661.761,6903845.276
16x8-bit temporal mult,signed,16,33,16,8,300,0,1537,801.360,30870.398,5403797.231,5434667.629
16x8-bit temporal mult,signed,16,33,16,8,400,0,742,384.350,9919.788,2204518.424,2214438.212
16x8-bit temporal mult,signed,16,33,16,8,500,0,624,351.873,9108.685,1799874.443,1808983.128
16x8-bit temporal mult,signed,16,33,16,8,550,3,589,338.325,8475.164,1665654.855,1674130.019
16x8-bit temporal mult,signed,16,33,16,8,600,1,569,333.426,8222.923,1559104.855,1567327.778
16x8-bit temporal mult,signed,16,33,16,8,650,0,523,317.580,7040.621,1406044.747,1413085.368
16x8-bit temporal mult,signed,16,33,16,8,700,7,584,298.287,7094.981,1450293.675,1457388.655
16x8-bit temporal mult,signed,16,33,16,8,750,0,521,293.933,6997.590,1375892.706,1382890.296
16x8-bit temporal mult,signed,16,33,16,8,800,0,503,287.824,6615.527,1305474.578,1312090.105
16x4-bit temporal mult,signed,16,33,16,4,200,-64,1164,629.234,23625.430,5358127.171,5381752.601
16x4-bit temporal mult,signed,16,33,16,4,300,0,833,410.417,13120.124,2902053.175,2915173.299
16x4-bit temporal mult,signed,16,33,16,4,400,0,560,278.389,7291.368,1652053.233,1659344.600
16x4-bit temporal mult,signed,16,33,16,4,500,0,490,265.326,6707.691,1405509.774,1412217.464
16x4-bit temporal mult,signed,16,33,16,4,550,0,441,248.391,6000.654,1246792.856,1252793.510
16x4-bit temporal mult,signed,16,33,16,4,600,1,439,246.879,5874.175,1177753.754,1183627.929
16x4-bit temporal mult,signed,16,33,16,4,650,0,431,238.049,5768.564,1131207.530,1136976.094
16x4-bit temporal mult,signed,16,33,16,4,700,2,413,232.667,5068.660,1026315.787,1031384.448
16x4-bit temporal mult,signed,16,33,16,4,750,3,419,228.191,5338.579,1038864.927,1044203.506
16x4-bit temporal mult,signed,16,33,16,4,800,0,365,222.385,5092.951,952151.419,957244.370
16x2-bit temporal mult,signed,16,33,16,2,200,-49,895,471.744,17621.226,3565443.106,3583064.332
16x2-bit temporal mult,signed,16,33,16,2,300,0,674,324.959,10045.378,2329911.089,2339956.467
16x2-bit temporal mult,signed,16,33,16,2,400,0,474,245.186,6920.453,1466333.826,1473254.279
16x2-bit temporal mult,signed,16,33,16,2,500,0,443,225.469,6096.430,1212794.005,1218890.436
16x2-bit temporal mult,signed,16,33,16,2,550,0,388,205.451,4899.447,1017646.413,1022545.860
16x2-bit temporal mult,signed,16,33,16,2,600,0,370,200.673,4780.820,936655.664,941436.484
16x2-bit temporal mult,signed,16,33,16,2,650,1,380,195.774,4554.691,894660.999,899215.689
16x2-bit temporal mult,signed,16,33,16,2,700,3,374,194.322,4486.037,834000.981,838487.018
16x2-bit temporal mult,signed,16,33,16,2,750,18,347,190.149,4321.370,805330.609,809651.980
16x2-bit temporal mult,signed,16,33,16,2,800,0,293,184.827,4202.669,735682.849,739885.518
8x8-bit temporal mult,signed,16,33,8,8,200,-74,1083,579.156,22464.096,4518246.419,4540710.515
8x8-bit temporal mult,signed,16,33,8,8,300,0,823,423.844,14836.861,2927515.282,2942352.142
8x8-bit temporal mult,signed,16,33,8,8,400,0,558,277.422,7363.262,1585449.005,1592812.267
8x8-bit temporal mult,signed,16,33,8,8,500,0,459,256.496,6440.091,1271325.139,1277765.231
8x8-bit temporal mult,signed,16,33,8,8,550,2,408,234.118,5276.429,1104073.674,1109350.103
8x8-bit temporal mult,signed,16,33,8,8,600,1,418,231.396,5595.054,1132573.360,1138168.414
8x8-bit temporal mult,signed,16,33,8,8,650,6,361,224.562,4795.232,955242.281,960037.513
8x8-bit temporal mult,signed,16,33,8,8,700,9,416,220.087,4905.899,1022336.288,1027242.187
8x8-bit temporal mult,signed,16,33,8,8,750,30,408,218.998,4846.197,978862.645,983708.841
