Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
8x4-bit temporal mult,signed,16,37,8,4,400,0,476,242.101,6533.562,1432883.043,1439416.605
8x4-bit temporal mult,signed,16,37,8,4,500,0,409,221.599,5532.442,1125149.075,1130681.517
8x4-bit temporal mult,signed,16,37,8,4,550,3,386,214.523,5058.580,1031989.210,1037047.791
8x4-bit temporal mult,signed,16,37,8,4,600,0,351,206.418,4755.056,946082.197,950837.253
8x4-bit temporal mult,signed,16,37,8,4,650,0,325,200.673,4503.594,867003.121,871506.715
8x4-bit temporal mult,signed,16,37,8,4,700,11,365,200.310,4446.305,853544.973,857991.278
8x4-bit temporal mult,signed,16,37,8,4,750,66,353,198.132,4320.565,807426.383,811746.948
8x4-bit temporal mult,signed,16,37,8,4,800,95,351,197.649,4325.365,767815.821,772141.186
8x2-bit temporal mult,signed,16,37,8,2,200,-50,879,458.559,15716.585,4332574.677,4348291.261
8x2-bit temporal mult,signed,16,37,8,2,300,0,717,326.411,9737.183,2058612.478,2068349.661
8x2-bit temporal mult,signed,16,37,8,2,400,0,466,218.091,5593.482,1260825.689,1266419.171
8x2-bit temporal mult,signed,16,37,8,2,500,0,376,201.822,5150.145,1010159.932,1015310.077
8x2-bit temporal mult,signed,16,37,8,2,550,0,346,191.117,4557.648,899710.813,904268.461
8x2-bit temporal mult,signed,16,37,8,2,600,0,335,188.395,4415.183,835009.398,839424.581
8x2-bit temporal mult,signed,16,37,8,2,650,7,365,185.069,4160.228,795402.023,799562.250
8x2-bit temporal mult,signed,16,37,8,2,700,16,356,183.133,4129.684,735057.079,739186.763
8x2-bit temporal mult,signed,16,37,8,2,750,14,339,179.686,3928.275,682123.116,686051.390
8x2-bit temporal mult,signed,16,37,8,2,800,37,340,180.109,3999.675,661425.421,665425.095
4x4-bit temporal mult,signed,16,37,4,4,200,-43,702,374.553,12906.360,3266390.434,3279296.794
4x4-bit temporal mult,signed,16,37,4,4,300,0,543,273.007,8104.689,1900109.706,1908214.395
4x4-bit temporal mult,signed,16,37,4,4,400,0,396,193.052,4828.965,1178703.891,1183532.857
4x4-bit temporal mult,signed,16,37,4,4,500,1,315,183.133,4402.039,932757.097,937159.136
4x4-bit temporal mult,signed,16,37,4,4,550,0,287,177.025,4130.773,844361.496,848492.269
4x4-bit temporal mult,signed,16,37,4,4,600,0,284,175.573,4005.212,795173.358,799178.570
4x4-bit temporal mult,signed,16,37,4,4,650,0,272,172.912,3984.722,752113.088,756097.810
4x4-bit temporal mult,signed,16,37,4,4,700,42,318,172.187,3833.560,698985.781,702819.341
4x4-bit temporal mult,signed,16,37,4,4,750,10,297,168.316,3659.590,665234.001,668893.592
4x4-bit temporal mult,signed,16,37,4,4,800,89,301,169.163,3727.392,633737.323,637464.715
4x2-bit temporal mult,signed,16,37,4,2,200,0,607,311.653,9269.943,3884073.866,3893343.809
4x2-bit temporal mult,signed,16,37,4,2,300,0,480,215.369,5594.780,1583475.013,1589069.792
4x2-bit temporal mult,signed,16,37,4,2,400,0,352,189.181,4933.985,1090740.908,1095674.893
4x2-bit temporal mult,signed,16,37,4,2,500,0,300,171.703,4211.470,829261.648,833473.118
4x2-bit temporal mult,signed,16,37,4,2,550,0,284,166.139,3950.748,773749.049,777699.797
4x2-bit temporal mult,signed,16,37,4,2,600,46,327,164.082,3740.489,719977.817,723718.306
4x2-bit temporal mult,signed,16,37,4,2,650,45,323,162.812,3631.798,688879.891,692511.690
4x2-bit temporal mult,signed,16,37,4,2,700,22,269,160.574,3644.067,608538.155,612182.222
4x2-bit temporal mult,signed,16,37,4,2,750,38,292,157.792,3508.993,574343.108,577852.101
4x2-bit temporal mult,signed,16,37,4,2,800,98,297,158.639,3520.627,551602.597,555123.223
2x2-bit temporal mult,signed,16,37,2,2,200,0,589,294.900,8860.258,3129882.828,3138743.087
2x2-bit temporal mult,signed,16,37,2,2,300,0,423,191.238,4865.975,1326612.268,1331478.244
2x2-bit temporal mult,signed,16,37,2,2,400,0,312,175.876,4529.991,973797.040,978327.030
2x2-bit temporal mult,signed,16,37,2,2,500,0,267,159.788,3879.745,753044.449,756924.194
2x2-bit temporal mult,signed,16,37,2,2,550,0,255,154.587,3606.729,698456.297,702063.026
2x2-bit temporal mult,signed,16,37,2,2,600,18,305,153.135,3486.640,657384.714,660871.354
2x2-bit temporal mult,signed,16,37,2,2,650,12,286,150.111,3387.307,599605.013,602992.320
2x2-bit temporal mult,signed,16,37,2,2,700,52,299,152.047,3437.846,565120.904,568558.750
2x2-bit temporal mult,signed,16,37,2,2,750,0,227,145.575,3200.551,503109.443,506309.994
2x2-bit temporal mult,signed,16,37,2,2,800,65,225,144.850,3177.814,477728.941,480906.755
16x16-bit temporal mult,signed,16,38,16,16,200,-133,1843,980.078,39057.680,5067264.523,5106322.203
16x16-bit temporal mult,signed,16,38,16,16,300,-31,1863,1006.387,40571.454,5919620.794,5960192.248
16x16-bit temporal mult,signed,16,38,16,16,400,0,1324,670.300,21457.357,3678536.734,3699994.091
16x16-bit temporal mult,signed,16,38,16,16,500,0,1068,556.597,15618.004,2864214.654,2879832.659
16x16-bit temporal mult,signed,16,38,16,16,550,0,982,502.891,12902.421,2514505.276,2527407.697
16x16-bit temporal mult,signed,16,38,16,16,600,0,942,487.590,12196.426,2339922.524,2352118.950
16x16-bit temporal mult,signed,16,38,16,16,650,0,914,481.965,11983.378,2240453.996,2252437.374
16x16-bit temporal mult,signed,16,38,16,16,700,0,919,482.751,11889.241,2146876.233,2158765.474
16x16-bit temporal mult,signed,16,38,16,16,750,1,885,469.688,11206.141,2030583.484,2041789.625
16x16-bit temporal mult,signed,16,38,16,16,800,0,900,465.394,11067.079,1953438.935,1964506.014
16x8-bit temporal mult,signed,16,38,16,8,200,-108,1600,823.859,31293.960,6683410.572,6714704.532
16x8-bit temporal mult,signed,16,38,16,8,300,-8,1591,825.371,31062.056,5618624.763,5649686.819
16x8-bit temporal mult,signed,16,38,16,8,400,0,828,431.222,11997.625,2506730.321,2518727.946
16x8-bit temporal mult,signed,16,38,16,8,500,0,715,376.911,9189.142,1926776.129,1935965.270
16x8-bit temporal mult,signed,16,38,16,8,550,0,638,366.267,9443.767,1834092.457,1843536.224
16x8-bit temporal mult,signed,16,38,16,8,600,0,626,357.921,8892.134,1694968.747,1703860.880
16x8-bit temporal mult,signed,16,38,16,8,650,1,589,342.498,7722.306,1526950.996,1534673.303
16x8-bit temporal mult,signed,16,38,16,8,700,0,622,328.044,8199.843,1578832.995,1587032.837
16x8-bit temporal mult,signed,16,38,16,8,750,0,562,314.436,7556.061,1471596.107,1479152.168
16x8-bit temporal mult,signed,16,38,16,8,800,0,617,319.758,7899.827,1478012.580,1485912.408
16x4-bit temporal mult,signed,16,38,16,4,200,-76,1200,635.221,23242.246,4978842.122,5002084.368
16x4-bit temporal mult,signed,16,38,16,4,300,0,993,480.090,16225.273,3327346.286,3343571.559
16x4-bit temporal mult,signed,16,38,16,4,400,0,683,323.991,8770.115,1936552.467,1945322.582
16x4-bit temporal mult,signed,16,38,16,4,500,0,526,278.027,6860.079,1461361.087,1468221.167
16x4-bit temporal mult,signed,16,38,16,4,550,0,484,269.196,6550.658,1379385.123,1385935.780
16x4-bit temporal mult,signed,16,38,16,4,600,0,475,266.656,6388.588,1298972.082,1305360.670
16x4-bit temporal mult,signed,16,38,16,4,650,0,479,260.004,6482.416,1245368.349,1251850.765
16x4-bit temporal mult,signed,16,38,16,4,700,0,506,263.693,6326.459,1209899.470,1216225.930
16x4-bit temporal mult,signed,16,38,16,4,750,2,413,250.508,5593.289,1058394.871,1063988.160
16x4-bit temporal mult,signed,16,38,16,4,800,3,388,244.944,5264.462,989160.706,994425.168
16x2-bit temporal mult,signed,16,38,16,2,200,-56,986,504.585,18696.372,3752847.524,3771543.896
16x2-bit temporal mult,signed,16,38,16,2,300,0,802,387.314,12718.137,2549647.965,2562366.102
16x2-bit temporal mult,signed,16,38,16,2,400,0,567,265.023,7219.085,1580575.772,1587794.857
16x2-bit temporal mult,signed,16,38,16,2,500,0,471,241.436,6366.782,1302081.714,1308448.495
16x2-bit temporal mult,signed,16,38,16,2,550,0,442,231.517,5691.236,1147471.724,1153162.960
16x2-bit temporal mult,signed,16,38,16,2,600,0,432,228.917,5740.245,1101673.960,1107414.205
16x2-bit temporal mult,signed,16,38,16,2,650,0,411,223.474,5516.533,1024044.010,1029560.544
16x2-bit temporal mult,signed,16,38,16,2,700,0,446,222.566,5427.436,986968.497,992395.933
16x2-bit temporal mult,signed,16,38,16,2,750,1,354,209.805,4822.844,877663.312,882486.156
16x2-bit temporal mult,signed,16,38,16,2,800,0,370,213.615,5160.737,873573.153,878733.890
8x8-bit temporal mult,signed,16,38,8,8,200,-86,1064,572.322,21788.614,4532603.202,4554391.816
8x8-bit temporal mult,signed,16,38,8,8,300,0,1016,516.862,18305.662,3542743.121,3561048.783
8x8-bit temporal mult,signed,16,38,8,8,400,0,607,313.105,8506.943,1753533.709,1762040.652
8x8-bit temporal mult,signed,16,38,8,8,500,0,524,281.172,7135.153,1422152.844,1429287.998
8x8-bit temporal mult,signed,16,38,8,8,550,0,466,262.786,6154.138,1254261.696,1260415.834
8x8-bit temporal mult,signed,16,38,8,8,600,0,432,251.718,5585.668,1153578.032,1159163.700
8x8-bit temporal mult,signed,16,38,8,8,650,0,443,248.210,5824.733,1191611.422,1197436.155
8x8-bit temporal mult,signed,16,38,8,8,700,0,393,244.279,5318.808,1014108.244,1019427.052
8x8-bit temporal mult,signed,16,38,8,8,750,0,460,248.936,5527.799,1011052.220,1016580.019
8x8-bit temporal mult,signed,16,38,8,8,800,0,399,237.384,5319.061,1009165.784,1014484.845
8x4-bit temporal mult,signed,16,38,8,4,200,-61,896,476.340,17207.392,4446068.658,4463276.050
8x4-bit temporal mult,signed,16,38,8,4,300,0,685,351.086,11390.318,2440755.951,2452146.269
8x4-bit temporal mult,signed,16,38,8,4,400,0,508,250.569,6715.268,1474040.152,1480755.420
8x4-bit temporal mult,signed,16,38,8,4,500,0,421,228.796,5714.578,1164240.401,1169954.980
8x4-bit temporal mult,signed,16,38,8,4,550,0,392,220.389,5331.128,1060092.625,1065423.753
8x4-bit temporal mult,signed,16,38,8,4,600,0,367,211.196,4888.926,991716.249,996605.175
8x4-bit temporal mult,signed,16,38,8,4,650,0,342,207.930,4851.498,922175.357,927026.855
8x4-bit temporal mult,signed,16,38,8,4,700,10,370,203.515,4487.059,851764.544,856251.603
8x4-bit temporal mult,signed,16,38,8,4,750,1,320,200.491,4383.139,817741.631,822124.769
8x4-bit temporal mult,signed,16,38,8,4,800,25,344,198.737,4238.415,771747.992,775986.407
8x2-bit temporal mult,signed,16,38,8,2,200,-46,927,482.147,16799.414,3834099.677,3850899.092
8x2-bit temporal mult,signed,16,38,8,2,300,0,719,322.782,9801.804,2081788.899,2091590.703
8x2-bit temporal mult,signed,16,38,8,2,400,0,421,225.046,6239.252,1313682.226,1319921.478
8x2-bit temporal mult,signed,16,38,8,2,500,0,390,212.406,5442.316,1049012.728,1054455.044
8x2-bit temporal mult,signed,16,38,8,2,550,0,385,206.176,5114.710,975944.721,981059.431
8x2-bit temporal mult,signed,16,38,8,2,600,0,354,194.806,4635.627,863706.800,868342.427
8x2-bit temporal mult,signed,16,38,8,2,650,2,385,190.572,4349.095,821140.806,825489.902
8x2-bit temporal mult,signed,16,38,8,2,700,26,351,184.827,4085.654,749839.918,753925.571
8x2-bit temporal mult,signed,16,38,8,2,750,25,347,183.678,3999.416,726252.564,730251.979
8x2-bit temporal mult,signed,16,38,8,2,800,37,352,183.557,4029.938,681328.844,685358.782
4x4-bit temporal mult,signed,16,38,4,4,200,-33,705,391.910,13744.830,3901490.876,3915235.706
4x4-bit temporal mult,signed,16,38,4,4,300,0,575,279.176,8493.896,2015897.572,2024391.468
4x4-bit temporal mult,signed,16,38,4,4,400,0,395,196.258,4933.818,1152022.755,1156956.573
4x4-bit temporal mult,signed,16,38,4,4,500,2,324,186.339,4538.904,937115.543,941654.447
4x4-bit temporal mult,signed,16,38,4,4,550,1,308,183.194,4349.628,872294.746,876644.375
4x4-bit temporal mult,signed,16,38,4,4,600,0,293,180.896,4293.204,823529.525,827822.730
4x4-bit temporal mult,signed,16,38,4,4,650,0,280,178.053,4196.706,783411.040,787607.745
4x4-bit temporal mult,signed,16,38,4,4,700,52,313,174.122,3865.775,714283.225,718149.000
4x4-bit temporal mult,signed,16,38,4,4,750,71,321,174.969,3870.421,685587.142,689457.564
4x4-bit temporal mult,signed,16,38,4,4,800,19,260,169.646,3666.705,622956.848,626623.554
4x2-bit temporal mult,signed,16,38,4,2,200,0,645,324.415,9658.206,3012069.388,3021727.594
4x2-bit temporal mult,signed,16,38,4,2,300,0,484,214.946,5584.202,1607049.835,1612634.036
4x2-bit temporal mult,signed,16,38,4,2,400,0,361,195.532,5229.973,1133784.583,1139014.556
4x2-bit temporal mult,signed,16,38,4,2,500,0,325,178.900,4543.000,884388.287,888931.287
4x2-bit temporal mult,signed,16,38,4,2,550,0,296,170.977,4114.923,781219.356,785334.278
4x2-bit temporal mult,signed,16,38,4,2,600,14,352,170.130,3968.091,755264.012,759232.103
4x2-bit temporal mult,signed,16,38,4,2,650,0,329,166.441,3781.805,694689.167,698470.971
4x2-bit temporal mult,signed,16,38,4,2,700,40,320,164.808,3737.556,647209.808,650947.364
4x2-bit temporal mult,signed,16,38,4,2,750,83,324,165.231,3723.924,638324.796,642048.720
4x2-bit temporal mult,signed,16,38,4,2,800,5,259,159.667,3544.245,558063.608,561607.853
2x2-bit temporal mult,signed,16,38,2,2,200,0,561,280.446,8211.834,3101749.112,3109960.946
2x2-bit temporal mult,signed,16,38,2,2,300,0,429,191.238,4829.037,1329105.140,1333934.177
2x2-bit temporal mult,signed,16,38,2,2,400,1,317,173.215,4247.660,963961.095,968208.756
2x2-bit temporal mult,signed,16,38,2,2,500,1,280,162.994,3869.099,773802.042,777671.141
2x2-bit temporal mult,signed,16,38,2,2,550,0,269,160.030,3783.955,712180.942,715964.897
2x2-bit temporal mult,signed,16,38,2,2,600,17,311,157.006,3608.504,680052.308,683660.812
2x2-bit temporal mult,signed,16,38,2,2,650,18,309,155.796,3550.688,646180.866,649731.554
2x2-bit temporal mult,signed,16,38,2,2,700,44,288,151.684,3397.750,584882.450,588280.200
2x2-bit temporal mult,signed,16,38,2,2,750,60,291,153.075,3407.675,570018.452,573426.127
2x2-bit temporal mult,signed,16,38,2,2,800,1,229,147.632,3202.733,482175.474,485378.207
16x16-bit temporal mult,signed,16,39,16,16,200,-137,1858,982.498,38977.949,4920469.746,4959447.695
16x16-bit temporal mult,signed,16,39,16,16,300,-25,1969,1078.842,44075.439,6397094.022,6441169.461
16x16-bit temporal mult,signed,16,39,16,16,400,0,1338,682.033,21851.231,3731804.876,3753656.107
16x16-bit temporal mult,signed,16,39,16,16,500,0,1141,593.793,17673.005,3013741.724,3031414.729
16x16-bit temporal mult,signed,16,39,16,16,550,0,999,520.309,13807.603,2606668.901,2620476.504
16x16-bit temporal mult,signed,16,39,16,16,600,0,943,488.739,12007.946,2340428.442,2352436.388
16x16-bit temporal mult,signed,16,39,16,16,650,0,937,488.920,12025.921,2269408.310,2281434.232
16x16-bit temporal mult,signed,16,39,16,16,700,0,916,487.771,12228.861,2169234.458,2181463.318
16x16-bit temporal mult,signed,16,39,16,16,750,0,898,474.889,11488.482,2048782.264,2060270.746
16x16-bit temporal mult,signed,16,39,16,16,800,1,874,470.716,11228.384,1967656.932,1978885.315
16x8-bit temporal mult,signed,16,39,16,8,200,-103,1688,892.503,34788.951,7429755.185,7464544.136
16x8-bit temporal mult,signed,16,39,16,8,300,-2,1680,899.035,34942.762,6048978.909,6083921.670
16x8-bit temporal mult,signed,16,39,16,8,400,0,847,436.605,11932.768,2567381.330,2579314.098
16x8-bit temporal mult,signed,16,39,16,8,500,0,682,383.685,9559.356,1939427.484,1948986.840
16x8-bit temporal mult,signed,16,39,16,8,550,0,672,378.242,9949.634,1881931.235,1891880.869
16x8-bit temporal mult,signed,16,39,16,8,600,0,617,358.586,8957.966,1710198.712,1719156.678
16x8-bit temporal mult,signed,16,39,16,8,650,0,648,334.394,8494.151,1688895.905,1697390.055
16x8-bit temporal mult,signed,16,39,16,8,700,1,603,328.044,8362.084,1602291.256,1610653.340
16x8-bit temporal mult,signed,16,39,16,8,750,0,645,325.806,8179.298,1553450.327,1561629.625
16x8-bit temporal mult,signed,16,39,16,8,800,1,562,317.520,7858.557,1443093.052,1450951.610
16x4-bit temporal mult,signed,16,39,16,4,200,-81,1261,642.721,23571.891,5270718.902,5294290.793
16x4-bit temporal mult,signed,16,39,16,4,300,0,1035,505.734,16872.443,3589256.401,3606128.844
16x4-bit temporal mult,signed,16,39,16,4,400,0,648,314.980,8393.301,1872757.502,1881150.802
16x4-bit temporal mult,signed,16,39,16,4,500,0,527,283.893,7009.095,1498989.721,1505998.816
16x4-bit temporal mult,signed,16,39,16,4,550,0,503,276.575,6831.011,1424658.141,1431489.152
16x4-bit temporal mult,signed,16,39,16,4,600,0,490,275.365,6707.147,1368571.384,1375278.531
16x4-bit temporal mult,signed,16,39,16,4,650,1,461,263.028,6061.526,1215567.554,1221629.080
16x4-bit temporal mult,signed,16,39,16,4,700,0,467,261.636,6733.782,1203184.158,1209917.940
16x4-bit temporal mult,signed,16,39,16,4,750,0,443,256.617,6207.046,1145304.917,1151511.963
16x4-bit temporal mult,signed,16,39,16,4,800,0,467,253.956,6299.347,1108526.265,1114825.611
16x2-bit temporal mult,signed,16,39,16,2,200,-75,936,472.288,16679.646,3568003.221,3584682.866
16x2-bit temporal mult,signed,16,39,16,2,300,0,813,384.834,12574.714,2581525.037,2594099.751
16x2-bit temporal mult,signed,16,39,16,2,400,0,584,271.192,7440.415,1648570.646,1656011.061
16x2-bit temporal mult,signed,16,39,16,2,500,0,498,251.355,6573.611,1332520.084,1339093.695
16x2-bit temporal mult,signed,16,39,16,2,550,0,455,235.086,5881.008,1185538.933,1191419.941
16x2-bit temporal mult,signed,16,39,16,2,600,0,428,229.340,5562.711,1089829.994,1095392.705
16x2-bit temporal mult,signed,16,39,16,2,650,0,415,228.735,5612.631,1027362.937,1032975.568
16x2-bit temporal mult,signed,16,39,16,2,700,0,470,228.010,5581.778,995306.486,1000888.264
16x2-bit temporal mult,signed,16,39,16,2,750,1,367,215.974,5073.700,897822.709,902896.409
16x2-bit temporal mult,signed,16,39,16,2,800,1,346,209.926,4764.204,840513.397,845277.602
8x8-bit temporal mult,signed,16,39,8,8,200,-90,1123,608.247,23184.597,5031060.931,5054245.528
8x8-bit temporal mult,signed,16,39,8,8,300,0,1005,504.887,17521.616,3492074.877,3509596.494
8x8-bit temporal mult,signed,16,39,8,8,400,0,602,307.964,8382.136,1785202.405,1793584.541
8x8-bit temporal mult,signed,16,39,8,8,500,0,507,286.191,7307.299,1430898.090,1438205.389
8x8-bit temporal mult,signed,16,39,8,8,550,1,460,263.814,6106.990,1269046.615,1275153.604
8x8-bit temporal mult,signed,16,39,8,8,600,0,446,259.096,5933.878,1209782.875,1215716.753
8x8-bit temporal mult,signed,16,39,8,8,650,0,461,256.375,6204.423,1223493.785,1229698.208
8x8-bit temporal mult,signed,16,39,8,8,700,2,422,246.456,5677.136,1133130.951,1138808.087
8x8-bit temporal mult,signed,16,39,8,8,750,0,426,246.819,5338.195,998628.940,1003967.135
8x8-bit temporal mult,signed,16,39,8,8,800,0,436,240.529,5381.765,1028814.669,1034196.434
8x4-bit temporal mult,signed,16,39,8,4,200,-69,859,464.668,16361.329,4059684.545,4076045.874
8x4-bit temporal mult,signed,16,39,8,4,300,0,702,353.082,11073.771,2489599.786,2500673.557
8x4-bit temporal mult,signed,16,39,8,4,400,0,511,253.411,6753.371,1508971.652,1515725.023
8x4-bit temporal mult,signed,16,39,8,4,500,0,434,233.755,5870.806,1189905.782,1195776.588
8x4-bit temporal mult,signed,16,39,8,4,550,0,395,223.050,5379.740,1095249.249,1100628.989
8x4-bit temporal mult,signed,16,39,8,4,600,0,372,216.156,4988.960,1004180.278,1009169.237
8x4-bit temporal mult,signed,16,39,8,4,650,0,350,211.740,4865.516,935551.464,940416.980
8x4-bit temporal mult,signed,16,39,8,4,700,0,419,214.885,4919.932,926140.114,931060.045
8x4-bit temporal mult,signed,16,39,8,4,750,0,368,206.660,4640.554,836078.093,840718.647
8x4-bit temporal mult,signed,16,39,8,4,800,0,359,204.604,4528.243,799265.013,803793.256
8x2-bit temporal mult,signed,16,39,8,2,200,-48,899,476.340,16605.750,3967942.934,3984548.684
8x2-bit temporal mult,signed,16,39,8,2,300,0,706,333.971,10343.194,2162330.117,2172673.311
8x2-bit temporal mult,signed,16,39,8,2,400,0,479,223.776,5904.709,1333774.955,1339679.664
8x2-bit temporal mult,signed,16,39,8,2,500,0,381,205.874,4954.865,1033679.920,1038634.785
8x2-bit temporal mult,signed,16,39,8,2,550,0,361,205.390,4970.551,952639.221,957609.772
8x2-bit temporal mult,signed,16,39,8,2,600,0,345,198.919,4738.501,906883.515,911622.015
8x2-bit temporal mult,signed,16,39,8,2,650,3,406,197.528,4603.768,844217.842,848821.610
8x2-bit temporal mult,signed,16,39,8,2,700,4,370,190.512,4274.709,779716.987,783991.696
8x2-bit temporal mult,signed,16,39,8,2,750,21,361,189.060,4176.440,728999.083,733175.523
8x2-bit temporal mult,signed,16,39,8,2,800,0,345,185.795,4050.231,692724.799,696775.030
4x4-bit temporal mult,signed,16,39,4,4,200,-37,782,422.937,14574.449,3689544.499,3704118.948
4x4-bit temporal mult,signed,16,39,4,4,300,0,597,285.163,8777.634,2014321.161,2023098.795
4x4-bit temporal mult,signed,16,39,4,4,400,0,381,218.272,5941.602,1270516.959,1276458.561
4x4-bit temporal mult,signed,16,39,4,4,500,0,363,201.156,5153.007,1024010.378,1029163.385
4x4-bit temporal mult,signed,16,39,4,4,550,0,336,192.266,4608.448,909535.554,914144.002
4x4-bit temporal mult,signed,16,39,4,4,600,0,305,185.371,4375.719,855584.176,859959.896
4x4-bit temporal mult,signed,16,39,4,4,650,0,298,182.347,4242.159,785296.675,789538.834
4x4-bit temporal mult,signed,16,39,4,4,700,0,337,180.775,4131.741,739250.905,743382.646
4x4-bit temporal mult,signed,16,39,4,4,750,37,333,179.202,4036.495,704416.293,708452.787
4x4-bit temporal mult,signed,16,39,4,4,800,4,267,173.396,3803.865,639970.275,643774.139
4x2-bit temporal mult,signed,16,39,4,2,200,0,678,337.841,10129.132,3094567.142,3104696.274
4x2-bit temporal mult,signed,16,39,4,2,300,0,493,221.478,5772.613,1605512.255,1611284.868
4x2-bit temporal mult,signed,16,39,4,2,400,0,402,188.758,4794.525,1104777.386,1109571.912
4x2-bit temporal mult,signed,16,39,4,2,500,1,318,179.021,4423.817,875526.404,879950.221
4x2-bit temporal mult,signed,16,39,4,2,550,0,309,177.932,4366.201,816974.324,821340.525
4x2-bit temporal mult,signed,16,39,4,2,600,3,344,171.945,4020.507,766910.409,770930.916
4x2-bit temporal mult,signed,16,39,4,2,650,20,350,172.489,3947.436,740499.992,744447.428
4x2-bit temporal mult,signed,16,39,4,2,700,0,280,168.437,3940.234,656832.128,660772.361
4x2-bit temporal mult,signed,16,39,4,2,750,0,274,166.864,3900.826,624993.965,628894.791
4x2-bit temporal mult,signed,16,39,4,2,800,0,263,163.115,3689.428,589704.697,593394.125
2x2-bit temporal mult,signed,16,39,2,2,200,0,739,356.288,10800.176,4387362.327,4398162.503
2x2-bit temporal mult,signed,16,39,2,2,300,0,463,206.660,5304.690,1494153.729,1499458.419
2x2-bit temporal mult,signed,16,39,2,2,400,0,311,173.336,4269.036,983045.724,987314.760
2x2-bit temporal mult,signed,16,39,2,2,500,0,285,165.594,4023.054,797891.196,801914.250
2x2-bit temporal mult,signed,16,39,2,2,550,0,281,166.199,4097.637,752934.815,757032.453
2x2-bit temporal mult,signed,16,39,2,2,600,23,320,160.212,3644.676,695680.268,699324.944
2x2-bit temporal mult,signed,16,39,2,2,650,28,306,157.611,3523.400,629996.137,633519.537
2x2-bit temporal mult,signed,16,39,2,2,700,10,249,155.434,3505.488,572994.017,576499.505
2x2-bit temporal mult,signed,16,39,2,2,750,6,241,153.075,3321.852,525771.992,529093.844
2x2-bit temporal mult,signed,16,39,2,2,800,15,231,150.172,3232.021,496295.000,499527.021
8x8-bit temporal mult,signed,8,16,8,8,200,-26,749,421.667,16858.550,3131750.206,3148608.756
8x8-bit temporal mult,signed,8,16,8,8,300,0,383,199.342,5650.762,1223240.420,1228891.182
8x8-bit temporal mult,signed,8,16,8,8,400,0,274,163.961,3914.432,811936.248,815850.679
8x8-bit temporal mult,signed,8,16,8,8,500,38,228,148.902,3083.249,626652.269,629735.518
8x8-bit temporal mult,signed,8,16,8,8,550,89,225,148.297,3080.626,586012.543,589093.169
8x8-bit temporal mult,signed,8,16,8,8,600,139,225,148.297,3079.813,564033.147,567112.960
8x8-bit temporal mult,signed,8,16,8,8,650,189,225,148.297,3080.619,532182.938,535263.558
8x8-bit temporal mult,signed,8,16,8,8,700,239,225,148.297,3083.365,513141.987,516225.352
8x8-bit temporal mult,signed,8,16,8,8,750,289,225,148.297,3079.421,489044.675,492124.096
8x8-bit temporal mult,signed,8,16,8,8,800,339,225,148.297,3080.468,474233.221,477313.688
8x4-bit temporal mult,signed,8,16,8,4,200,-2,522,293.026,11528.426,2603764.050,2615292.477
8x4-bit temporal mult,signed,8,16,8,4,300,0,282,136.322,3703.111,962022.896,965726.008
8x4-bit temporal mult,signed,8,16,8,4,400,0,191,117.089,2861.345,675820.496,678681.840
8x4-bit temporal mult,signed,8,16,8,4,500,36,152,103.784,2251.701,520361.395,522613.096
8x4-bit temporal mult,signed,8,16,8,4,550,92,149,103.179,2252.586,490460.277,492712.863
8x4-bit temporal mult,signed,8,16,8,4,600,142,149,103.179,2251.165,472184.859,474436.024
8x4-bit temporal mult,signed,8,16,8,4,650,192,149,103.179,2249.989,449821.089,452071.078
8x4-bit temporal mult,signed,8,16,8,4,700,242,149,103.179,2251.364,432885.121,435136.485
8x4-bit temporal mult,signed,8,16,8,4,750,292,149,103.179,2249.908,416961.633,419211.541
8x4-bit temporal mult,signed,8,16,8,4,800,342,149,103.179,2147.278,393917.494,396064.772
8x2-bit temporal mult,signed,8,16,8,2,200,0,333,175.634,6061.493,1753173.094,1759234.587
8x2-bit temporal mult,signed,8,16,8,2,300,0,253,116.001,3261.948,839484.537,842746.485
8x2-bit temporal mult,signed,8,16,8,2,400,0,179,98.159,2469.946,582944.698,585414.643
8x2-bit temporal mult,signed,8,16,8,2,500,32,132,84.007,1795.659,428493.152,430288.811
8x2-bit temporal mult,signed,8,16,8,2,550,88,129,83.402,1795.519,400063.427,401858.947
8x2-bit temporal mult,signed,8,16,8,2,600,138,129,83.402,1795.418,383001.051,384796.469
8x2-bit temporal mult,signed,8,16,8,2,650,188,129,83.402,1795.314,363874.343,365669.657
8x2-bit temporal mult,signed,8,16,8,2,700,238,129,83.402,1799.180,348505.489,350304.669
8x2-bit temporal mult,signed,8,16,8,2,750,288,129,83.402,1797.649,332542.427,334340.077
8x2-bit temporal mult,signed,8,16,8,2,800,338,129,83.402,1799.523,316116.138,317915.661
4x4-bit temporal mult,signed,8,16,4,4,200,0,324,186.581,6727.984,1653677.672,1660405.655
4x4-bit temporal mult,signed,8,16,4,4,300,0,225,106.203,2827.457,741735.847,744563.304
4x4-bit temporal mult,signed,8,16,4,4,400,0,157,92.776,2272.534,523209.817,525482.351
4x4-bit temporal mult,signed,8,16,4,4,500,44,119,81.588,1702.185,387510.741,389212.926
