Shifter
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
shifter_IN_2_OUT_32_clk_650,2,32,650,577,57,16.995,424.747,73270.844,73695.591
shifter_IN_2_OUT_32_clk_700,2,32,700,627,57,16.995,425.867,68448.329,68874.196
shifter_IN_2_OUT_32_clk_750,2,32,750,677,57,16.995,426.151,65052.976,65479.127
shifter_IN_2_OUT_32_clk_800,2,32,800,727,57,16.995,425.911,59934.459,60360.370
shifter_IN_4_OUT_32_clk_200,4,32,200,87,79,23.527,573.025,263125.361,263698.385
shifter_IN_4_OUT_32_clk_300,4,32,300,187,79,23.527,593.985,193025.679,193619.664
shifter_IN_4_OUT_32_clk_400,4,32,400,287,79,23.527,594.126,161373.064,161967.190
shifter_IN_4_OUT_32_clk_500,4,32,500,387,79,23.527,594.457,137668.697,138263.153
shifter_IN_4_OUT_32_clk_550,4,32,550,437,79,23.527,594.344,129229.241,129823.585
shifter_IN_4_OUT_32_clk_600,4,32,600,487,79,23.527,594.126,121982.680,122576.806
shifter_IN_4_OUT_32_clk_650,4,32,650,537,79,23.527,593.448,112466.434,113059.882
shifter_IN_4_OUT_32_clk_700,4,32,700,587,79,23.527,594.173,106606.198,107200.371
shifter_IN_4_OUT_32_clk_750,4,32,750,637,79,23.527,594.252,101906.050,102500.302
shifter_IN_4_OUT_32_clk_800,4,32,800,687,79,23.527,594.511,94803.542,95398.052
shifter_IN_8_OUT_32_clk_200,8,32,200,87,95,29.756,778.570,304230.768,305009.338
shifter_IN_8_OUT_32_clk_300,8,32,300,185,95,29.756,777.082,246247.772,247024.854
shifter_IN_8_OUT_32_clk_400,8,32,400,285,95,29.756,776.837,208597.565,209374.402
shifter_IN_8_OUT_32_clk_500,8,32,500,385,95,29.756,777.161,176096.961,176874.122
shifter_IN_8_OUT_32_clk_550,8,32,550,435,95,29.756,776.150,166588.091,167364.241
shifter_IN_8_OUT_32_clk_600,8,32,600,485,95,29.756,777.037,157860.947,158637.984
shifter_IN_8_OUT_32_clk_650,8,32,650,535,95,29.756,776.632,146704.249,147480.881
shifter_IN_8_OUT_32_clk_700,8,32,700,585,95,29.756,777.077,138591.216,139368.293
shifter_IN_8_OUT_32_clk_750,8,32,750,635,95,29.756,777.285,130331.051,131108.336
shifter_IN_8_OUT_32_clk_800,8,32,800,685,95,29.756,777.611,125851.346,126628.957
shifter_IN_16_OUT_32_clk_200,16,32,200,72,120,40.159,975.357,442457.042,443432.398
shifter_IN_16_OUT_32_clk_300,16,32,300,175,120,40.159,952.914,349684.085,350636.999
shifter_IN_16_OUT_32_clk_400,16,32,400,275,120,40.159,951.820,295443.560,296395.380
shifter_IN_16_OUT_32_clk_500,16,32,500,375,120,40.159,952.793,257922.113,258874.906
shifter_IN_16_OUT_32_clk_550,16,32,550,425,120,40.159,952.485,242493.284,243445.769
shifter_IN_16_OUT_32_clk_600,16,32,600,475,120,40.159,952.955,227338.479,228291.434
shifter_IN_16_OUT_32_clk_650,16,32,650,525,120,40.159,952.993,215463.063,216416.056
shifter_IN_16_OUT_32_clk_700,16,32,700,575,120,40.159,952.148,204926.072,205878.220
shifter_IN_16_OUT_32_clk_750,16,32,750,625,120,40.159,952.809,194892.719,195845.528
shifter_IN_16_OUT_32_clk_800,16,32,800,675,120,40.159,953.221,186238.938,187192.158
shifter_IN_1_OUT_64_clk_200,1,64,200,10,89,26.551,663.058,429097.887,429760.945
shifter_IN_1_OUT_64_clk_300,1,64,300,109,89,26.551,651.259,197155.859,197807.118
shifter_IN_1_OUT_64_clk_400,1,64,400,209,89,26.551,650.890,162181.034,162831.924
shifter_IN_1_OUT_64_clk_500,1,64,500,309,89,26.551,651.180,139659.992,140311.172
shifter_IN_1_OUT_64_clk_550,1,64,550,359,89,26.551,651.756,127288.396,127940.152
shifter_IN_1_OUT_64_clk_600,1,64,600,409,89,26.551,651.585,122795.749,123447.334
shifter_IN_1_OUT_64_clk_650,1,64,650,459,89,26.551,651.448,113020.630,113672.077
