Signed Max Comparator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
signed_max_comparator_IN_2_OUT_4_clk_550,32,32,4,550,508,4,1.875,45.543,8712.734,8758.277
signed_max_comparator_IN_2_OUT_4_clk_600,32,32,4,600,558,4,1.875,45.538,8097.077,8142.615
signed_max_comparator_IN_2_OUT_4_clk_650,32,32,4,650,608,4,1.875,45.537,7451.294,7496.831
signed_max_comparator_IN_2_OUT_4_clk_700,32,32,4,700,658,4,1.875,45.551,6950.646,6996.197
signed_max_comparator_IN_2_OUT_4_clk_750,32,32,4,750,708,4,1.875,45.510,6670.226,6715.736
signed_max_comparator_IN_2_OUT_4_clk_800,32,32,4,800,758,4,1.875,45.556,6285.192,6330.747
signed_max_comparator_IN_4_OUT_4_clk_200,32,32,4,200,110,12,4.778,138.641,55528.965,55667.606
signed_max_comparator_IN_4_OUT_4_clk_300,32,32,4,300,211,12,4.778,140.702,42710.746,42851.448
signed_max_comparator_IN_4_OUT_4_clk_400,32,32,4,400,311,12,4.778,140.603,33275.044,33415.647
signed_max_comparator_IN_4_OUT_4_clk_500,32,32,4,500,411,12,4.778,140.723,28099.955,28240.679
signed_max_comparator_IN_4_OUT_4_clk_550,32,32,4,550,461,12,4.778,140.323,26439.523,26579.845
signed_max_comparator_IN_4_OUT_4_clk_600,32,32,4,600,511,12,4.778,140.624,24693.408,24834.032
signed_max_comparator_IN_4_OUT_4_clk_650,32,32,4,650,561,12,4.778,140.622,22147.321,22287.943
signed_max_comparator_IN_4_OUT_4_clk_700,32,32,4,700,611,12,4.778,140.398,21465.727,21606.125
signed_max_comparator_IN_4_OUT_4_clk_750,32,32,4,750,661,12,4.778,141.114,20234.276,20375.390
signed_max_comparator_IN_4_OUT_4_clk_800,32,32,4,800,711,12,4.778,140.580,19385.163,19525.744
signed_max_comparator_IN_1_OUT_8_clk_200,32,32,8,200,184,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_8_clk_300,32,32,8,300,284,1,0.302,10.901,4376.629,4387.530
signed_max_comparator_IN_1_OUT_8_clk_400,32,32,8,400,384,1,0.302,10.896,3380.692,3391.588
signed_max_comparator_IN_1_OUT_8_clk_500,32,32,8,500,484,1,0.302,10.896,2897.729,2908.625
signed_max_comparator_IN_1_OUT_8_clk_550,32,32,8,550,534,1,0.302,10.913,2710.539,2721.452
signed_max_comparator_IN_1_OUT_8_clk_600,32,32,8,600,584,1,0.302,10.902,2496.885,2507.787
signed_max_comparator_IN_1_OUT_8_clk_650,32,32,8,650,634,1,0.302,10.891,2394.299,2405.190
signed_max_comparator_IN_1_OUT_8_clk_700,32,32,8,700,684,1,0.302,10.897,2164.929,2175.826
signed_max_comparator_IN_1_OUT_8_clk_750,32,32,8,750,734,1,0.302,10.913,2027.813,2038.726
signed_max_comparator_IN_1_OUT_8_clk_800,32,32,8,800,784,1,0.302,10.913,1909.424,1920.337
signed_max_comparator_IN_2_OUT_8_clk_200,32,32,8,200,154,4,1.875,45.567,19875.276,19920.843
signed_max_comparator_IN_2_OUT_8_clk_300,32,32,8,300,254,4,1.875,45.550,15494.363,15539.913
signed_max_comparator_IN_2_OUT_8_clk_400,32,32,8,400,354,4,1.875,45.569,12078.085,12123.653
signed_max_comparator_IN_2_OUT_8_clk_500,32,32,8,500,454,4,1.875,45.577,9895.201,9940.778
signed_max_comparator_IN_2_OUT_8_clk_550,32,32,8,550,504,4,1.875,45.543,9196.008,9241.552
signed_max_comparator_IN_2_OUT_8_clk_600,32,32,8,600,554,4,1.875,45.538,8507.172,8552.709
signed_max_comparator_IN_2_OUT_8_clk_650,32,32,8,650,604,4,1.875,45.537,7840.433,7885.970
signed_max_comparator_IN_2_OUT_8_clk_700,32,32,8,700,654,4,1.875,45.551,7346.062,7391.613
signed_max_comparator_IN_2_OUT_8_clk_750,32,32,8,750,704,4,1.875,45.510,7061.514,7107.024
signed_max_comparator_IN_2_OUT_8_clk_800,32,32,8,800,754,4,1.875,45.556,6674.371,6719.926
signed_max_comparator_IN_4_OUT_8_clk_200,32,32,8,200,106,12,4.778,139.741,55515.363,55655.104
signed_max_comparator_IN_4_OUT_8_clk_300,32,32,8,300,207,12,4.778,141.798,43501.689,43643.487
signed_max_comparator_IN_4_OUT_8_clk_400,32,32,8,400,307,12,4.778,141.704,33943.066,34084.770
signed_max_comparator_IN_4_OUT_8_clk_500,32,32,8,500,407,12,4.778,141.827,28657.942,28799.769
signed_max_comparator_IN_4_OUT_8_clk_550,32,32,8,550,457,12,4.778,141.420,26963.846,27105.267
signed_max_comparator_IN_4_OUT_8_clk_600,32,32,8,600,507,12,4.778,141.722,25198.793,25340.514
signed_max_comparator_IN_4_OUT_8_clk_650,32,32,8,650,557,12,4.778,141.721,22585.938,22727.659
signed_max_comparator_IN_4_OUT_8_clk_700,32,32,8,700,607,12,4.778,141.497,21913.846,22055.343
signed_max_comparator_IN_4_OUT_8_clk_750,32,32,8,750,657,12,4.778,142.214,20653.792,20796.006
signed_max_comparator_IN_4_OUT_8_clk_800,32,32,8,800,707,12,4.778,141.676,19785.436,19927.113
signed_max_comparator_IN_8_OUT_8_clk_200,32,32,8,200,59,26,10.463,304.749,132274.611,132579.360
signed_max_comparator_IN_8_OUT_8_clk_300,32,32,8,300,133,23,8.770,228.484,83074.652,83303.136
signed_max_comparator_IN_8_OUT_8_clk_400,32,32,8,400,233,23,8.770,228.470,64882.592,65111.062
signed_max_comparator_IN_8_OUT_8_clk_500,32,32,8,500,333,23,8.770,228.240,54209.914,54438.154
signed_max_comparator_IN_8_OUT_8_clk_550,32,32,8,550,383,23,8.770,228.240,49758.195,49986.435
signed_max_comparator_IN_8_OUT_8_clk_600,32,32,8,600,433,23,8.770,228.543,46446.983,46675.526
signed_max_comparator_IN_8_OUT_8_clk_650,32,32,8,650,483,23,8.770,228.466,43958.906,44187.372
signed_max_comparator_IN_8_OUT_8_clk_700,32,32,8,700,533,23,8.770,228.787,42389.192,42617.979
signed_max_comparator_IN_8_OUT_8_clk_750,32,32,8,750,583,23,8.770,228.393,39697.304,39925.697
signed_max_comparator_IN_8_OUT_8_clk_800,32,32,8,800,633,23,8.770,228.206,37997.654,38225.861
signed_max_comparator_IN_1_OUT_16_clk_200,32,32,16,200,178,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_16_clk_300,32,32,16,300,278,1,0.302,10.901,5766.777,5777.678
signed_max_comparator_IN_1_OUT_16_clk_400,32,32,16,400,378,1,0.302,10.896,4482.624,4493.520
signed_max_comparator_IN_1_OUT_16_clk_500,32,32,16,500,478,1,0.302,10.896,3889.479,3900.375
signed_max_comparator_IN_1_OUT_16_clk_550,32,32,16,550,528,1,0.302,10.913,3655.668,3666.581
signed_max_comparator_IN_1_OUT_16_clk_600,32,32,16,600,578,1,0.302,10.902,3369.956,3380.858
signed_max_comparator_IN_1_OUT_16_clk_650,32,32,16,650,628,1,0.302,10.891,3250.404,3261.295
signed_max_comparator_IN_1_OUT_16_clk_700,32,32,16,700,678,1,0.302,10.897,2927.799,2938.696
signed_max_comparator_IN_1_OUT_16_clk_750,32,32,16,750,728,1,0.302,10.913,2744.082,2754.995
signed_max_comparator_IN_1_OUT_16_clk_800,32,32,16,800,778,1,0.302,10.913,2587.558,2598.471
signed_max_comparator_IN_2_OUT_16_clk_200,32,32,16,200,144,4,1.875,45.567,19927.334,19972.901
signed_max_comparator_IN_2_OUT_16_clk_300,32,32,16,300,244,4,1.875,45.550,16960.585,17006.134
signed_max_comparator_IN_2_OUT_16_clk_400,32,32,16,400,344,4,1.875,45.569,13258.088,13303.656
signed_max_comparator_IN_2_OUT_16_clk_500,32,32,16,500,444,4,1.875,45.577,10992.726,11038.303
signed_max_comparator_IN_2_OUT_16_clk_550,32,32,16,550,494,4,1.875,45.543,10198.179,10243.723
signed_max_comparator_IN_2_OUT_16_clk_600,32,32,16,600,544,4,1.875,45.538,9357.558,9403.096
signed_max_comparator_IN_2_OUT_16_clk_650,32,32,16,650,594,4,1.875,45.537,8647.390,8692.927
signed_max_comparator_IN_2_OUT_16_clk_700,32,32,16,700,644,4,1.875,45.551,8166.042,8211.593
signed_max_comparator_IN_2_OUT_16_clk_750,32,32,16,750,694,4,1.875,45.510,7872.879,7918.389
signed_max_comparator_IN_2_OUT_16_clk_800,32,32,16,800,744,4,1.875,45.556,7481.375,7526.931
signed_max_comparator_IN_4_OUT_16_clk_200,32,32,16,200,101,12,4.778,141.772,56209.863,56351.635
signed_max_comparator_IN_4_OUT_16_clk_300,32,32,16,300,201,12,4.778,141.172,44992.386,45133.558
signed_max_comparator_IN_4_OUT_16_clk_400,32,32,16,400,301,12,4.778,141.066,35194.621,35335.687
signed_max_comparator_IN_4_OUT_16_clk_500,32,32,16,500,401,12,4.778,141.168,29711.454,29852.622
signed_max_comparator_IN_4_OUT_16_clk_550,32,32,16,550,451,12,4.778,140.800,27959.653,28100.453
signed_max_comparator_IN_4_OUT_16_clk_600,32,32,16,600,501,12,4.778,141.085,26156.516,26297.601
signed_max_comparator_IN_4_OUT_16_clk_650,32,32,16,650,551,12,4.778,141.083,23414.080,23555.163
signed_max_comparator_IN_4_OUT_16_clk_700,32,32,16,700,601,12,4.778,140.853,22766.821,22907.674
signed_max_comparator_IN_4_OUT_16_clk_750,32,32,16,750,651,12,4.778,141.576,21450.844,21592.421
signed_max_comparator_IN_4_OUT_16_clk_800,32,32,16,800,701,12,4.778,141.048,20551.030,20692.078
signed_max_comparator_IN_8_OUT_16_clk_200,32,32,16,200,54,26,10.463,299.231,132300.888,132600.119
signed_max_comparator_IN_8_OUT_16_clk_300,32,32,16,300,126,23,8.770,229.583,84598.599,84828.182
signed_max_comparator_IN_8_OUT_16_clk_400,32,32,16,400,226,23,8.770,229.569,66098.217,66327.786
signed_max_comparator_IN_8_OUT_16_clk_500,32,32,16,500,326,23,8.770,229.336,55371.267,55600.603
signed_max_comparator_IN_8_OUT_16_clk_550,32,32,16,550,376,23,8.770,229.338,50723.930,50953.268
signed_max_comparator_IN_8_OUT_16_clk_600,32,32,16,600,426,23,8.770,229.646,47417.412,47647.058
signed_max_comparator_IN_8_OUT_16_clk_650,32,32,16,650,476,23,8.770,229.565,44901.859,45131.424
signed_max_comparator_IN_8_OUT_16_clk_700,32,32,16,700,526,23,8.770,229.891,43249.726,43479.617
signed_max_comparator_IN_8_OUT_16_clk_750,32,32,16,750,576,23,8.770,229.494,40476.224,40705.718
signed_max_comparator_IN_8_OUT_16_clk_800,32,32,16,800,626,23,8.770,229.304,38676.142,38905.445
signed_max_comparator_IN_16_OUT_16_clk_200,32,32,16,200,28,54,21.349,638.934,250280.913,250919.847
signed_max_comparator_IN_16_OUT_16_clk_300,32,32,16,300,106,54,21.289,618.360,188009.601,188627.961
signed_max_comparator_IN_16_OUT_16_clk_400,32,32,16,400,173,54,21.168,614.041,154583.627,155197.668
signed_max_comparator_IN_16_OUT_16_clk_500,32,32,16,500,212,47,18.204,481.528,112277.924,112759.452
signed_max_comparator_IN_16_OUT_16_clk_550,32,32,16,550,262,47,18.204,481.612,102895.256,103376.868
signed_max_comparator_IN_16_OUT_16_clk_600,32,32,16,600,312,47,18.204,481.022,97066.719,97547.741
signed_max_comparator_IN_16_OUT_16_clk_650,32,32,16,650,362,47,18.204,481.790,90478.829,90960.619
signed_max_comparator_IN_16_OUT_16_clk_700,32,32,16,700,412,47,18.204,480.929,85152.270,85633.200
signed_max_comparator_IN_16_OUT_16_clk_750,32,32,16,750,462,47,18.204,481.121,80043.012,80524.133
signed_max_comparator_IN_16_OUT_16_clk_800,32,32,16,800,512,47,18.204,481.186,74981.748,75462.934
signed_max_comparator_IN_1_OUT_32_clk_200,32,32,32,200,166,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_32_clk_300,32,32,32,300,266,1,0.302,10.901,8577.447,8588.348
signed_max_comparator_IN_1_OUT_32_clk_400,32,32,32,400,366,1,0.302,10.896,6710.582,6721.478
signed_max_comparator_IN_1_OUT_32_clk_500,32,32,32,500,466,1,0.302,10.896,5894.649,5905.545
signed_max_comparator_IN_1_OUT_32_clk_550,32,32,32,550,516,1,0.302,10.913,5566.579,5577.492
signed_max_comparator_IN_1_OUT_32_clk_600,32,32,32,600,566,1,0.302,10.902,5135.186,5146.089
signed_max_comparator_IN_1_OUT_32_clk_650,32,32,32,650,616,1,0.302,10.891,4981.348,4992.239
signed_max_comparator_IN_1_OUT_32_clk_700,32,32,32,700,666,1,0.302,10.897,4470.227,4481.124
signed_max_comparator_IN_1_OUT_32_clk_750,32,32,32,750,716,1,0.302,10.913,4192.266,4203.179
signed_max_comparator_IN_1_OUT_32_clk_800,32,32,32,800,766,1,0.302,10.913,3958.626,3969.539
signed_max_comparator_IN_2_OUT_32_clk_200,32,32,32,200,124,4,1.875,46.352,20158.790,20205.142
signed_max_comparator_IN_2_OUT_32_clk_300,32,32,32,300,224,4,1.875,46.345,19953.923,20000.268
signed_max_comparator_IN_2_OUT_32_clk_400,32,32,32,400,324,4,1.875,46.354,15661.573,15707.928
signed_max_comparator_IN_2_OUT_32_clk_500,32,32,32,500,424,4,1.875,46.366,13219.654,13266.019
signed_max_comparator_IN_2_OUT_32_clk_550,32,32,32,550,474,4,1.875,46.342,12230.897,12277.238
signed_max_comparator_IN_2_OUT_32_clk_600,32,32,32,600,524,4,1.875,46.330,11085.697,11132.027
signed_max_comparator_IN_2_OUT_32_clk_650,32,32,32,650,574,4,1.875,46.328,10286.083,10332.411
signed_max_comparator_IN_2_OUT_32_clk_700,32,32,32,700,624,4,1.875,46.346,9827.096,9873.442
signed_max_comparator_IN_2_OUT_32_clk_750,32,32,32,750,674,4,1.875,46.308,9515.008,9561.316
signed_max_comparator_IN_2_OUT_32_clk_800,32,32,32,800,724,4,1.875,46.344,9112.584,9158.929
signed_max_comparator_IN_4_OUT_32_clk_200,32,32,32,200,88,12,4.778,139.262,55475.152,55614.414
signed_max_comparator_IN_4_OUT_32_clk_300,32,32,32,300,189,12,4.778,141.172,47847.579,47988.751
signed_max_comparator_IN_4_OUT_32_clk_400,32,32,32,400,289,12,4.778,141.066,37602.623,37743.689
signed_max_comparator_IN_4_OUT_32_clk_500,32,32,32,500,389,12,4.778,141.168,31723.856,31865.024
signed_max_comparator_IN_4_OUT_32_clk_550,32,32,32,550,439,12,4.778,140.800,29851.640,29992.440
signed_max_comparator_IN_4_OUT_32_clk_600,32,32,32,600,489,12,4.778,141.085,27979.703,28120.788
signed_max_comparator_IN_4_OUT_32_clk_650,32,32,32,650,539,12,4.778,141.083,24996.475,25137.557
signed_max_comparator_IN_4_OUT_32_clk_700,32,32,32,700,589,12,4.778,140.853,24383.609,24524.462
signed_max_comparator_IN_4_OUT_32_clk_750,32,32,32,750,639,12,4.778,141.576,22964.435,23106.012
signed_max_comparator_IN_4_OUT_32_clk_800,32,32,32,800,689,12,4.778,141.048,21995.812,22136.859
signed_max_comparator_IN_8_OUT_32_clk_200,32,32,32,200,42,26,10.463,298.692,132458.519,132757.211
signed_max_comparator_IN_8_OUT_32_clk_300,32,32,32,300,114,23,8.770,237.332,88297.274,88534.606
signed_max_comparator_IN_8_OUT_32_clk_400,32,32,32,400,211,23,8.770,234.697,68510.024,68744.721
signed_max_comparator_IN_8_OUT_32_clk_500,32,32,32,500,311,23,8.770,234.451,57619.753,57854.204
signed_max_comparator_IN_8_OUT_32_clk_550,32,32,32,550,361,23,8.770,234.481,52590.166,52824.647
signed_max_comparator_IN_8_OUT_32_clk_600,32,32,32,600,411,23,8.770,234.783,49274.095,49508.878
signed_max_comparator_IN_8_OUT_32_clk_650,32,32,32,650,461,23,8.770,234.691,46685.451,46920.143
signed_max_comparator_IN_8_OUT_32_clk_700,32,32,32,700,511,23,8.770,235.002,44839.824,45074.826
signed_max_comparator_IN_8_OUT_32_clk_750,32,32,32,750,561,23,8.770,234.637,41917.043,42151.681
signed_max_comparator_IN_8_OUT_32_clk_800,32,32,32,800,611,23,8.770,234.452,39902.795,40137.246
signed_max_comparator_IN_16_OUT_32_clk_200,32,32,32,200,13,54,21.349,636.450,249803.677,250440.127
signed_max_comparator_IN_16_OUT_32_clk_300,32,32,32,300,58,54,21.168,614.494,196046.922,196661.416
signed_max_comparator_IN_16_OUT_32_clk_400,32,32,32,400,158,54,21.168,615.136,157231.555,157846.691
signed_max_comparator_IN_16_OUT_32_clk_500,32,32,32,500,162,47,17.963,464.117,117607.131,118071.247
signed_max_comparator_IN_16_OUT_32_clk_550,32,32,32,550,212,47,17.963,464.255,107757.639,108221.894
signed_max_comparator_IN_16_OUT_32_clk_600,32,32,32,600,298,47,18.204,479.547,98681.050,99160.597
signed_max_comparator_IN_16_OUT_32_clk_650,32,32,32,650,348,47,18.204,480.318,92084.136,92564.453
signed_max_comparator_IN_16_OUT_32_clk_700,32,32,32,700,398,47,18.204,479.427,86767.444,87246.871
signed_max_comparator_IN_16_OUT_32_clk_750,32,32,32,750,448,47,18.204,479.646,81453.658,81933.304
signed_max_comparator_IN_16_OUT_32_clk_800,32,32,32,800,498,47,18.204,479.708,76222.982,76702.690
signed_max_comparator_IN_32_OUT_32_clk_200,32,32,32,200,15,116,45.481,1385.583,514521.252,515906.835
signed_max_comparator_IN_32_OUT_32_clk_300,32,32,32,300,8,116,44.634,1282.966,393768.530,395051.496
signed_max_comparator_IN_32_OUT_32_clk_400,32,32,32,400,39,114,43.364,1229.776,322006.687,323236.463
signed_max_comparator_IN_32_OUT_32_clk_500,32,32,32,500,125,110,42.094,1155.743,256423.418,257579.161
signed_max_comparator_IN_32_OUT_32_clk_550,32,32,32,550,108,106,41.247,1143.950,239728.597,240872.546
signed_max_comparator_IN_32_OUT_32_clk_600,32,32,32,600,99,108,42.034,1164.806,223851.137,225015.943
signed_max_comparator_IN_32_OUT_32_clk_650,32,32,32,650,182,103,40.280,1128.660,205403.513,206532.172
signed_max_comparator_IN_32_OUT_32_clk_700,32,32,32,700,296,111,42.155,1295.117,199442.434,200737.552
signed_max_comparator_IN_32_OUT_32_clk_750,32,32,32,750,346,111,42.155,1295.992,192092.205,193388.197
signed_max_comparator_IN_32_OUT_32_clk_800,32,32,32,800,396,111,42.155,1296.246,182795.896,184092.143
signed_max_comparator_IN_1_OUT_64_clk_200,32,32,64,200,142,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_64_clk_300,32,32,64,300,242,1,0.302,10.901,14231.891,14242.792
signed_max_comparator_IN_1_OUT_64_clk_400,32,32,64,400,342,1,0.302,10.896,11192.757,11203.653
signed_max_comparator_IN_1_OUT_64_clk_500,32,32,64,500,442,1,0.302,10.896,9928.612,9939.507
signed_max_comparator_IN_1_OUT_64_clk_550,32,32,64,550,492,1,0.302,10.913,9410.911,9421.824
signed_max_comparator_IN_1_OUT_64_clk_600,32,32,64,600,542,1,0.302,10.902,8686.449,8697.351
signed_max_comparator_IN_1_OUT_64_clk_650,32,32,64,650,592,1,0.302,10.891,8463.648,8474.538
signed_max_comparator_IN_1_OUT_64_clk_700,32,32,64,700,642,1,0.302,10.897,7573.267,7584.165
signed_max_comparator_IN_1_OUT_64_clk_750,32,32,64,750,692,1,0.302,10.913,7105.686,7116.599
signed_max_comparator_IN_1_OUT_64_clk_800,32,32,64,800,742,1,0.302,10.913,6716.898,6727.811
signed_max_comparator_IN_2_OUT_64_clk_200,32,32,64,200,85,4,1.875,44.556,20150.785,20195.341
signed_max_comparator_IN_2_OUT_64_clk_300,32,32,64,300,185,4,1.875,44.560,25603.689,25648.249
signed_max_comparator_IN_2_OUT_64_clk_400,32,32,64,400,285,4,1.875,44.559,20217.130,20261.689
signed_max_comparator_IN_2_OUT_64_clk_500,32,32,64,500,385,4,1.875,44.574,17471.363,17515.937
signed_max_comparator_IN_2_OUT_64_clk_550,32,32,64,550,435,4,1.875,44.560,16113.928,16158.488
signed_max_comparator_IN_2_OUT_64_clk_600,32,32,64,600,485,4,1.875,44.541,14374.772,14419.313
signed_max_comparator_IN_2_OUT_64_clk_650,32,32,64,650,535,4,1.875,44.540,13409.421,13453.961
signed_max_comparator_IN_2_OUT_64_clk_700,32,32,64,700,585,4,1.875,44.561,13007.606,13052.167
signed_max_comparator_IN_2_OUT_64_clk_750,32,32,64,750,635,4,1.875,44.526,12664.195,12708.721
signed_max_comparator_IN_2_OUT_64_clk_800,32,32,64,800,685,4,1.875,44.552,12248.465,12293.017
signed_max_comparator_IN_4_OUT_64_clk_200,32,32,64,200,64,12,4.778,141.772,56209.863,56351.635
signed_max_comparator_IN_4_OUT_64_clk_300,32,32,64,300,164,12,4.778,141.172,53550.360,53691.531
signed_max_comparator_IN_4_OUT_64_clk_400,32,32,64,400,264,12,4.778,141.066,42412.194,42553.260
signed_max_comparator_IN_4_OUT_64_clk_500,32,32,64,500,364,12,4.778,141.168,35743.308,35884.476
signed_max_comparator_IN_4_OUT_64_clk_550,32,32,64,550,414,12,4.778,140.800,33630.631,33771.431
signed_max_comparator_IN_4_OUT_64_clk_600,32,32,64,600,464,12,4.778,141.085,31621.280,31762.365
signed_max_comparator_IN_4_OUT_64_clk_650,32,32,64,650,514,12,4.778,141.083,28157.078,28298.160
signed_max_comparator_IN_4_OUT_64_clk_700,32,32,64,700,564,12,4.778,140.853,27612.942,27753.795
signed_max_comparator_IN_4_OUT_64_clk_750,32,32,64,750,614,12,4.778,141.576,25987.641,26129.217
signed_max_comparator_IN_4_OUT_64_clk_800,32,32,64,800,664,12,4.778,141.048,24881.610,25022.657
signed_max_comparator_IN_8_OUT_64_clk_200,32,32,64,200,34,27,10.524,297.922,130075.464,130373.386
signed_max_comparator_IN_8_OUT_64_clk_300,32,32,64,300,87,23,8.770,225.984,92576.712,92802.697
signed_max_comparator_IN_8_OUT_64_clk_400,32,32,64,400,187,23,8.770,227.777,72725.887,72953.664
signed_max_comparator_IN_8_OUT_64_clk_500,32,32,64,500,287,23,8.770,227.583,61724.192,61951.776
signed_max_comparator_IN_8_OUT_64_clk_550,32,32,64,550,337,23,8.770,227.578,55985.745,56213.323
signed_max_comparator_IN_8_OUT_64_clk_600,32,32,64,600,387,23,8.770,227.836,52714.870,52942.706
signed_max_comparator_IN_8_OUT_64_clk_650,32,32,64,650,437,23,8.770,227.769,50050.825,50278.594
signed_max_comparator_IN_8_OUT_64_clk_700,32,32,64,700,487,23,8.770,228.046,47925.811,48153.857
signed_max_comparator_IN_8_OUT_64_clk_750,32,32,64,750,537,23,8.770,227.698,44703.768,44931.466
signed_max_comparator_IN_8_OUT_64_clk_800,32,32,64,800,587,23,8.770,227.547,42331.991,42559.538
signed_max_comparator_IN_16_OUT_64_clk_200,32,32,64,200,6,54,21.410,649.184,250957.699,251606.883
