Synchronous Register
name,Synchronous/Asynchronous,Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
register_async_width_40_clk_500,Asynchronous,40,500,436,40,65.318,868.056,376454.629,377322.685
register_async_width_40_clk_550,Asynchronous,40,550,486,40,65.318,867.992,342200.426,343068.417
register_async_width_40_clk_600,Asynchronous,40,600,536,40,65.318,868.011,313823.385,314691.396
register_async_width_40_clk_650,Asynchronous,40,650,586,40,65.318,868.188,289526.624,290394.812
register_async_width_40_clk_700,Asynchronous,40,700,636,40,65.318,867.987,268748.191,269616.178
register_async_width_40_clk_750,Asynchronous,40,750,686,40,65.318,868.191,251131.912,252000.104
register_async_width_40_clk_800,Asynchronous,40,800,736,40,65.318,868.197,235336.893,236205.090
register_async_width_48_clk_200,Asynchronous,48,200,136,48,78.382,1041.752,1100011.571,1101053.324
register_async_width_48_clk_300,Asynchronous,48,300,236,48,78.382,1041.696,751900.792,752942.488
register_async_width_48_clk_400,Asynchronous,48,400,336,48,78.382,1041.596,564293.800,565335.396
register_async_width_48_clk_500,Asynchronous,48,500,436,48,78.382,1041.590,451074.831,452116.421
register_async_width_48_clk_550,Asynchronous,48,550,486,48,78.382,1041.592,410385.900,411427.492
register_async_width_48_clk_600,Asynchronous,48,600,536,48,78.382,1041.624,376177.586,377219.210
register_async_width_48_clk_650,Asynchronous,48,650,586,48,78.382,1041.617,346688.238,347729.855
register_async_width_48_clk_700,Asynchronous,48,700,636,48,78.382,1041.599,322288.825,323330.423
register_async_width_48_clk_750,Asynchronous,48,750,686,48,78.382,1041.732,300636.206,301677.939
register_async_width_48_clk_800,Asynchronous,48,800,736,48,78.382,1041.600,282435.349,283476.949
register_async_width_56_clk_200,Asynchronous,56,200,136,56,91.446,1215.234,1283329.397,1284544.631
register_async_width_56_clk_300,Asynchronous,56,300,236,56,91.446,1215.380,877145.800,878361.180
register_async_width_56_clk_400,Asynchronous,56,400,336,56,91.446,1215.429,657773.682,658989.111
register_async_width_56_clk_500,Asynchronous,56,500,436,56,91.446,1215.467,526147.939,527363.406
register_async_width_56_clk_550,Asynchronous,56,550,486,56,91.446,1215.193,478504.877,479720.070
register_async_width_56_clk_600,Asynchronous,56,600,536,56,91.446,1215.207,439309.083,440524.289
register_async_width_56_clk_650,Asynchronous,56,650,586,56,91.446,1215.194,405332.224,406547.418
register_async_width_56_clk_700,Asynchronous,56,700,636,56,91.446,1215.435,375983.139,377198.573
register_async_width_56_clk_750,Asynchronous,56,750,686,56,91.446,1215.149,351104.231,352319.380
register_async_width_56_clk_800,Asynchronous,56,800,736,56,91.446,1215.157,329235.023,330450.180
register_async_width_64_clk_200,Asynchronous,64,200,136,64,104.509,1388.995,1466602.685,1467991.680
register_async_width_64_clk_300,Asynchronous,64,300,236,64,104.509,1388.998,1002731.603,1004120.601
register_async_width_64_clk_400,Asynchronous,64,400,336,64,104.509,1388.896,753160.820,754549.717
register_async_width_64_clk_500,Asynchronous,64,500,436,64,104.509,1389.115,602287.777,603676.892
register_async_width_64_clk_550,Asynchronous,64,550,486,64,104.509,1388.775,547539.838,548928.613
register_async_width_64_clk_600,Asynchronous,64,600,536,64,104.509,1388.815,502090.537,503479.352
register_async_width_64_clk_650,Asynchronous,64,650,586,64,104.509,1388.902,463215.061,464603.963
register_async_width_64_clk_700,Asynchronous,64,700,636,64,104.509,1388.805,430042.269,431431.073
register_async_width_64_clk_750,Asynchronous,64,750,686,64,104.509,1389.109,401794.986,403184.096
register_async_width_64_clk_800,Asynchronous,64,800,736,64,104.509,1388.906,376563.582,377952.488
